127.0.0.1 - - [19/Mar/2017:21:28:51 +0800] "GET / HTTP/1.1" 404 306
127.0.0.1 - - [19/Mar/2017:21:28:59 +0800] "GET /services HTTP/1.1" 200 5300
127.0.0.1 - - [19/Mar/2017:21:28:59 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [19/Mar/2017:21:28:59 +0800] "GET /css/dashboard.css HTTP/1.1" 200 1824
127.0.0.1 - - [19/Mar/2017:21:28:59 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [19/Mar/2017:21:28:59 +0800] "GET /image/add.png HTTP/1.1" 200 1062
127.0.0.1 - - [19/Mar/2017:21:28:59 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [19/Mar/2017:21:31:24 +0800] "GET /services HTTP/1.1" 200 5005
127.0.0.1 - - [19/Mar/2017:21:31:24 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [19/Mar/2017:21:35:38 +0800] "GET /services/form HTTP/1.1" 200 3183
127.0.0.1 - - [19/Mar/2017:21:35:39 +0800] "GET /css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [19/Mar/2017:21:35:39 +0800] "GET /js/jquery-1.10.2.min.js HTTP/1.1" 200 93064
127.0.0.1 - - [19/Mar/2017:21:55:36 +0800] "GET /services/form HTTP/1.1" 200 3183
127.0.0.1 - - [19/Mar/2017:21:55:36 +0800] "GET /js/jquery-1.10.2.min.js HTTP/1.1" 304 -
127.0.0.1 - - [19/Mar/2017:21:55:36 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 304 -
127.0.0.1 - - [19/Mar/2017:21:55:36 +0800] "GET /css/font-awesome.min.css HTTP/1.1" 304 -
127.0.0.1 - - [19/Mar/2017:21:55:36 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 304 -
127.0.0.1 - - [19/Mar/2017:21:55:36 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 304 -
127.0.0.1 - - [19/Mar/2017:21:55:36 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [19/Mar/2017:21:55:38 +0800] "GET /services/form HTTP/1.1" 200 3183
127.0.0.1 - - [19/Mar/2017:21:55:38 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [19/Mar/2017:21:58:00 +0800] "GET /services/form HTTP/1.1" 200 3439
127.0.0.1 - - [19/Mar/2017:21:58:00 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [19/Mar/2017:21:59:35 +0800] "GET /services/form HTTP/1.1" 200 3486
127.0.0.1 - - [19/Mar/2017:21:59:35 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [19/Mar/2017:21:59:36 +0800] "GET /services/form HTTP/1.1" 200 3486
127.0.0.1 - - [19/Mar/2017:21:59:36 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [19/Mar/2017:21:59:40 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [19/Mar/2017:22:00:25 +0800] "GET /services/form HTTP/1.1" 200 3483
127.0.0.1 - - [19/Mar/2017:22:00:26 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [19/Mar/2017:22:00:27 +0800] "GET /services/form HTTP/1.1" 200 3483
127.0.0.1 - - [19/Mar/2017:22:00:27 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [19/Mar/2017:22:00:39 +0800] "GET /services/form HTTP/1.1" 200 3483
127.0.0.1 - - [19/Mar/2017:22:00:39 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [19/Mar/2017:22:02:03 +0800] "GET /services/form HTTP/1.1" 200 3529
127.0.0.1 - - [19/Mar/2017:22:02:03 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [19/Mar/2017:22:02:05 +0800] "GET /services/form HTTP/1.1" 200 3529
127.0.0.1 - - [19/Mar/2017:22:02:05 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [19/Mar/2017:22:03:02 +0800] "GET /services/form HTTP/1.1" 200 3534
127.0.0.1 - - [19/Mar/2017:22:03:02 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [19/Mar/2017:22:04:01 +0800] "GET /services/form HTTP/1.1" 200 3529
127.0.0.1 - - [19/Mar/2017:22:04:01 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [19/Mar/2017:22:04:02 +0800] "GET /services/form HTTP/1.1" 200 3529
127.0.0.1 - - [19/Mar/2017:22:04:03 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [19/Mar/2017:22:04:26 +0800] "GET /services/form HTTP/1.1" 200 3515
127.0.0.1 - - [19/Mar/2017:22:04:26 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [19/Mar/2017:22:06:16 +0800] "GET /services/form HTTP/1.1" 200 3547
127.0.0.1 - - [19/Mar/2017:22:06:16 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [19/Mar/2017:22:06:18 +0800] "GET /services/form HTTP/1.1" 200 3547
127.0.0.1 - - [19/Mar/2017:22:06:18 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [19/Mar/2017:22:07:52 +0800] "GET /services/form HTTP/1.1" 200 3574
127.0.0.1 - - [19/Mar/2017:22:07:52 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
127.0.0.1 - - [19/Mar/2017:22:10:51 +0800] "POST /services/create HTTP/1.1" 500 867
127.0.0.1 - - [19/Mar/2017:22:10:53 +0800] "GET /css/bootstrap.min.css.map HTTP/1.1" 404 140
