127.0.0.1 - - [10/Apr/2017:17:00:27 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:17:00:27 +0800] "GET /css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [10/Apr/2017:17:00:27 +0800] "GET /js/jquery-1.10.2.min.js HTTP/1.1" 200 93064
127.0.0.1 - - [10/Apr/2017:17:00:27 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [10/Apr/2017:17:00:27 +0800] "GET /js/xlsx.core.min.js HTTP/1.1" 200 463761
127.0.0.1 - - [10/Apr/2017:17:00:28 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [10/Apr/2017:17:00:28 +0800] "GET /services/hardresource/form HTTP/1.1" 200 8537
127.0.0.1 - - [10/Apr/2017:17:00:28 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:17:00:28 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [10/Apr/2017:17:00:28 +0800] "GET /css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [10/Apr/2017:17:00:28 +0800] "GET /js/xlsx.core.min.js HTTP/1.1" 200 463761
127.0.0.1 - - [10/Apr/2017:17:00:28 +0800] "GET /js/jquery-1.10.2.min.js HTTP/1.1" 200 93064
127.0.0.1 - - [10/Apr/2017:17:00:28 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [10/Apr/2017:17:09:30 +0800] "GET /services/hardresource/form HTTP/1.1" 200 8549
127.0.0.1 - - [10/Apr/2017:17:09:30 +0800] "GET /js/jquery-1.10.2.min.js HTTP/1.1" 200 93064
127.0.0.1 - - [10/Apr/2017:17:09:30 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:17:09:30 +0800] "GET /css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [10/Apr/2017:17:09:30 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [10/Apr/2017:17:09:30 +0800] "GET /js/xlsx.core.min.js HTTP/1.1" 200 463761
127.0.0.1 - - [10/Apr/2017:17:09:30 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [10/Apr/2017:17:09:30 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [10/Apr/2017:17:09:33 +0800] "POST /services/hardresource/formcreate HTTP/1.1" 400 359
127.0.0.1 - - [10/Apr/2017:17:09:39 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [10/Apr/2017:17:09:40 +0800] "GET /css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [10/Apr/2017:17:09:40 +0800] "GET /js/jquery-1.10.2.min.js HTTP/1.1" 200 93064
127.0.0.1 - - [10/Apr/2017:17:09:40 +0800] "GET /js/xlsx.core.min.js HTTP/1.1" 200 463761
127.0.0.1 - - [10/Apr/2017:17:09:40 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:17:09:40 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [10/Apr/2017:17:12:30 +0800] "POST /services/hardresource/formcreate HTTP/1.1" 302 -
127.0.0.1 - - [10/Apr/2017:17:12:30 +0800] "GET /services HTTP/1.1" 200 11574
127.0.0.1 - - [10/Apr/2017:17:12:30 +0800] "GET /css/dashboard.css HTTP/1.1" 200 1824
127.0.0.1 - - [10/Apr/2017:17:12:30 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:17:12:30 +0800] "GET /image/add.png HTTP/1.1" 200 1062
127.0.0.1 - - [10/Apr/2017:17:12:30 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [10/Apr/2017:17:12:30 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [10/Apr/2017:17:13:47 +0800] "GET /services/hardresource/form HTTP/1.1" 200 8549
127.0.0.1 - - [10/Apr/2017:17:13:47 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:17:13:47 +0800] "GET /css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [10/Apr/2017:17:13:47 +0800] "GET /js/jquery-1.10.2.min.js HTTP/1.1" 200 93064
127.0.0.1 - - [10/Apr/2017:17:13:47 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [10/Apr/2017:17:13:47 +0800] "GET /js/xlsx.core.min.js HTTP/1.1" 200 463761
127.0.0.1 - - [10/Apr/2017:17:13:47 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [10/Apr/2017:17:13:48 +0800] "GET /services/hardresource/form HTTP/1.1" 200 8549
127.0.0.1 - - [10/Apr/2017:17:13:48 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:17:13:48 +0800] "GET /css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [10/Apr/2017:17:13:48 +0800] "GET /js/jquery-1.10.2.min.js HTTP/1.1" 200 93064
127.0.0.1 - - [10/Apr/2017:17:13:48 +0800] "GET /js/xlsx.core.min.js HTTP/1.1" 200 463761
127.0.0.1 - - [10/Apr/2017:17:13:48 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [10/Apr/2017:17:13:48 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [10/Apr/2017:19:01:48 +0800] "GET /services/hardresource/form HTTP/1.1" 500 390
127.0.0.1 - - [10/Apr/2017:19:01:48 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [10/Apr/2017:19:04:20 +0800] "GET /services/hardresource/form HTTP/1.1" 200 8635
127.0.0.1 - - [10/Apr/2017:19:04:21 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:19:04:21 +0800] "GET /css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [10/Apr/2017:19:04:21 +0800] "GET /js/xlsx.core.min.js HTTP/1.1" 200 463761
127.0.0.1 - - [10/Apr/2017:19:04:21 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [10/Apr/2017:19:04:21 +0800] "GET /js/jquery-1.10.2.min.js HTTP/1.1" 200 93064
127.0.0.1 - - [10/Apr/2017:19:04:21 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [10/Apr/2017:19:04:21 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [10/Apr/2017:19:04:57 +0800] "GET /services/hardresource/form HTTP/1.1" 200 8635
127.0.0.1 - - [10/Apr/2017:19:04:57 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [10/Apr/2017:19:04:57 +0800] "GET /js/xlsx.core.min.js HTTP/1.1" 200 463761
