127.0.0.1 - - [06/Apr/2017:17:44:43 +0800] "GET / HTTP/1.1" 404 306
127.0.0.1 - - [06/Apr/2017:17:44:57 +0800] "GET /services HTTP/1.1" 200 11004
127.0.0.1 - - [06/Apr/2017:17:44:57 +0800] "GET /css/dashboard.css HTTP/1.1" 200 1824
127.0.0.1 - - [06/Apr/2017:17:44:57 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [06/Apr/2017:17:44:57 +0800] "GET /image/add.png HTTP/1.1" 200 1062
127.0.0.1 - - [06/Apr/2017:17:44:57 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [06/Apr/2017:17:44:58 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [06/Apr/2017:17:45:11 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [06/Apr/2017:17:45:11 +0800] "GET /services/form HTTP/1.1" 200 11655
127.0.0.1 - - [06/Apr/2017:17:45:11 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [06/Apr/2017:17:45:11 +0800] "GET /css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [06/Apr/2017:17:45:11 +0800] "GET /js/jquery-1.10.2.min.js HTTP/1.1" 200 93064
127.0.0.1 - - [06/Apr/2017:17:45:11 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [06/Apr/2017:17:45:24 +0800] "GET /services/hardresource/form HTTP/1.1" 200 8508
127.0.0.1 - - [06/Apr/2017:17:45:24 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [06/Apr/2017:17:45:24 +0800] "GET /css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [06/Apr/2017:17:45:24 +0800] "GET /js/jquery-1.10.2.min.js HTTP/1.1" 200 93064
127.0.0.1 - - [06/Apr/2017:17:45:24 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [06/Apr/2017:17:45:24 +0800] "GET /js/xlsx.core.min.js HTTP/1.1" 200 463761
127.0.0.1 - - [06/Apr/2017:17:45:24 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [06/Apr/2017:17:45:30 +0800] "GET /services/hardresource/create HTTP/1.1" 405 337
127.0.0.1 - - [06/Apr/2017:17:45:34 +0800] "GET /services/hardresource HTTP/1.1" 400 475
127.0.0.1 - - [06/Apr/2017:17:45:43 +0800] "GET /services/hardresource/form HTTP/1.1" 200 8508
127.0.0.1 - - [06/Apr/2017:17:45:43 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [06/Apr/2017:17:45:43 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [06/Apr/2017:17:45:43 +0800] "GET /css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [06/Apr/2017:17:45:43 +0800] "GET /js/xlsx.core.min.js HTTP/1.1" 200 463761
127.0.0.1 - - [06/Apr/2017:17:45:43 +0800] "GET /js/jquery-1.10.2.min.js HTTP/1.1" 200 93064
127.0.0.1 - - [06/Apr/2017:17:45:43 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [06/Apr/2017:17:52:11 +0800] "GET /services/hardresource/form HTTP/1.1" 200 8537
127.0.0.1 - - [06/Apr/2017:17:52:11 +0800] "GET /js/jquery-1.10.2.min.js HTTP/1.1" 200 93064
127.0.0.1 - - [06/Apr/2017:17:52:11 +0800] "GET /css/font-awesome.min.css HTTP/1.1" 200 31000
127.0.0.1 - - [06/Apr/2017:17:52:11 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [06/Apr/2017:17:52:11 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [06/Apr/2017:17:52:11 +0800] "GET /js/xlsx.core.min.js HTTP/1.1" 200 463761
127.0.0.1 - - [06/Apr/2017:17:52:11 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [06/Apr/2017:17:52:11 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [06/Apr/2017:17:57:32 +0800] "GET /services/ HTTP/1.1" 500 387
127.0.0.1 - - [06/Apr/2017:17:57:36 +0800] "GET /services HTTP/1.1" 500 387
127.0.0.1 - - [06/Apr/2017:17:57:36 +0800] "GET /services HTTP/1.1" 500 387
127.0.0.1 - - [06/Apr/2017:17:58:22 +0800] "GET /services HTTP/1.1" 200 11115
127.0.0.1 - - [06/Apr/2017:17:58:22 +0800] "GET /css/dashboard.css HTTP/1.1" 200 1824
127.0.0.1 - - [06/Apr/2017:17:58:22 +0800] "GET /image/add.png HTTP/1.1" 200 1062
127.0.0.1 - - [06/Apr/2017:17:58:22 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [06/Apr/2017:17:58:22 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [06/Apr/2017:17:58:22 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [06/Apr/2017:17:58:22 +0800] "GET /favicon.ico HTTP/1.1" 200 946
127.0.0.1 - - [06/Apr/2017:17:58:56 +0800] "GET /services/1 HTTP/1.1" 200 186
127.0.0.1 - - [06/Apr/2017:17:59:06 +0800] "GET /css/dashboard.css HTTP/1.1" 200 1824
127.0.0.1 - - [06/Apr/2017:17:59:06 +0800] "GET /css/bootstrap.min.css HTTP/1.1" 200 121200
127.0.0.1 - - [06/Apr/2017:17:59:07 +0800] "GET /js/bootstrap.min.js HTTP/1.1" 200 37045
127.0.0.1 - - [06/Apr/2017:17:59:07 +0800] "GET /image/add.png HTTP/1.1" 200 1062
127.0.0.1 - - [06/Apr/2017:17:59:07 +0800] "GET /fonts/glyphicons-halflings-regular.woff2 HTTP/1.1" 200 18028
127.0.0.1 - - [06/Apr/2017:17:59:33 +0800] "GET /services/2 HTTP/1.1" 200 196
127.0.0.1 - - [06/Apr/2017:17:59:37 +0800] "GET /services/43 HTTP/1.1" 200 -
127.0.0.1 - - [06/Apr/2017:17:59:46 +0800] "GET /services HTTP/1.1" 200 11115
